category,name,purpose_zh,forest_path,ivory_path,source
global,nav-back,返回上一页,assets/icons/forest/nav-back.png,assets/icons/ivory/nav-back.png,arrow-left
global,nav-forward,进入下一层,assets/icons/forest/nav-forward.png,assets/icons/ivory/nav-forward.png,arrow-right
global,chevron-right,列表进入详情,assets/icons/forest/chevron-right.png,assets/icons/ivory/chevron-right.png,chevron-right
global,chevron-down,展开内容,assets/icons/forest/chevron-down.png,assets/icons/ivory/chevron-down.png,chevron-down
global,close,关闭弹层,assets/icons/forest/close.png,assets/icons/ivory/close.png,times
global,more,更多操作,assets/icons/forest/more.png,assets/icons/ivory/more.png,ellipsis-h
global,search,搜索,assets/icons/forest/search.png,assets/icons/ivory/search.png,search
global,share,分享,assets/icons/forest/share.png,assets/icons/ivory/share.png,share
global,edit,编辑,assets/icons/forest/edit.png,assets/icons/ivory/edit.png,edit
global,delete,删除,assets/icons/forest/delete.png,assets/icons/ivory/delete.png,trash
global,history,历史记录,assets/icons/forest/history.png,assets/icons/ivory/history.png,history
global,settings,设置,assets/icons/forest/settings.png,assets/icons/ivory/settings.png,cog
global,help,帮助说明,assets/icons/forest/help.png,assets/icons/ivory/help.png,question-circle
global,customer-service,联系客服,assets/icons/forest/customer-service.png,assets/icons/ivory/customer-service.png,headset
global,notice,通知提醒,assets/icons/forest/notice.png,assets/icons/ivory/notice.png,bell
global,refresh,刷新状态,assets/icons/forest/refresh.png,assets/icons/ivory/refresh.png,sync
home,home-weather,天气,assets/icons/forest/home-weather.png,assets/icons/ivory/home-weather.png,cloud-sun
home,home-water-quality,水质状态,assets/icons/forest/home-water-quality.png,assets/icons/ivory/home-water-quality.png,tint
home,home-water-level,水位状态,assets/icons/forest/home-water-level.png,assets/icons/ivory/home-water-level.png,water
home,home-open-status,营业状态,assets/icons/forest/home-open-status.png,assets/icons/ivory/home-open-status.png,store
home,home-ticket,在线购票,assets/icons/forest/home-ticket.png,assets/icons/ivory/home-ticket.png,ticket-alt
home,home-upgrade,补差价升级,assets/icons/forest/home-upgrade.png,assets/icons/ivory/home-upgrade.png,arrow-alt-circle-up
home,home-calendar,今日日期,assets/icons/forest/home-calendar.png,assets/icons/ivory/home-calendar.png,calendar-day
home,home-activity,今日活动,assets/icons/forest/home-activity.png,assets/icons/ivory/home-activity.png,flag-checkered
home,home-map,园区地图,assets/icons/forest/home-map.png,assets/icons/ivory/home-map.png,map-marked
home,home-store,营地小卖部,assets/icons/forest/home-store.png,assets/icons/ivory/home-store.png,store
home,home-bar,森水酒吧,assets/icons/forest/home-bar.png,assets/icons/ivory/home-bar.png,glass-cheers
home,home-member,会员中心,assets/icons/forest/home-member.png,assets/icons/ivory/home-member.png,crown
home,home-reservation,溪降预约,assets/icons/forest/home-reservation.png,assets/icons/ivory/home-reservation.png,calendar-check
home,home-announcement,园区公告,assets/icons/forest/home-announcement.png,assets/icons/ivory/home-announcement.png,bullhorn
home,home-current-location,当前位置,assets/icons/forest/home-current-location.png,assets/icons/ivory/home-current-location.png,location-arrow
map,map-compass,地图方向,assets/icons/forest/map-compass.png,assets/icons/ivory/map-compass.png,compass
map,map-navigation,导航到目标,assets/icons/forest/map-navigation.png,assets/icons/ivory/map-navigation.png,location-arrow
map,map-route,推荐路线,assets/icons/forest/map-route.png,assets/icons/ivory/map-route.png,route
map,map-parking,停车场,assets/icons/forest/map-parking.png,assets/icons/ivory/map-parking.png,parking
map,map-restroom,卫生间,assets/icons/forest/map-restroom.png,assets/icons/ivory/map-restroom.png,restroom
map,map-service-center,游客中心,assets/icons/forest/map-service-center.png,assets/icons/ivory/map-service-center.png,concierge-bell
map,map-campsite,营地区域,assets/icons/forest/map-campsite.png,assets/icons/ivory/map-campsite.png,campground
map,map-stream-descent,溪降区域,assets/icons/forest/map-stream-descent.png,assets/icons/ivory/map-stream-descent.png,swimmer
map,map-activity-zone,活动区域,assets/icons/forest/map-activity-zone.png,assets/icons/ivory/map-activity-zone.png,flag
map,map-dining,餐饮取餐区,assets/icons/forest/map-dining.png,assets/icons/ivory/map-dining.png,utensils
map,map-first-aid,医疗急救点,assets/icons/forest/map-first-aid.png,assets/icons/ivory/map-first-aid.png,first-aid
map,map-exit,景区出口,assets/icons/forest/map-exit.png,assets/icons/ivory/map-exit.png,sign-out-alt
map,map-photo-spot,打卡拍照点,assets/icons/forest/map-photo-spot.png,assets/icons/ivory/map-photo-spot.png,camera
map,map-info,景点详情,assets/icons/forest/map-info.png,assets/icons/ivory/map-info.png,info-circle
map,map-layers,地图图层,assets/icons/forest/map-layers.png,assets/icons/ivory/map-layers.png,layer-group
activity,activity-token,长河令,assets/icons/forest/activity-token.png,assets/icons/ivory/activity-token.png,coins
activity,activity-reward,奖励兑换,assets/icons/forest/activity-reward.png,assets/icons/ivory/activity-reward.png,gift
activity,activity-task,悬赏任务,assets/icons/forest/activity-task.png,assets/icons/ivory/activity-task.png,clipboard-list
activity,activity-fish,摸鱼抓鱼,assets/icons/forest/activity-fish.png,assets/icons/ivory/activity-fish.png,fish
activity,activity-crab,抓螃蟹,assets/icons/forest/activity-crab.png,assets/icons/ivory/activity-crab.png,custom:crab
activity,activity-crayfish,钓小龙虾,assets/icons/forest/activity-crayfish.png,assets/icons/ivory/activity-crayfish.png,custom:crayfish
activity,activity-duck,套鸭子,assets/icons/forest/activity-duck.png,assets/icons/ivory/activity-duck.png,custom:duck
activity,activity-slingshot,愤怒的小鸟/弹弓,assets/icons/forest/activity-slingshot.png,assets/icons/ivory/activity-slingshot.png,custom:slingshot
activity,activity-auction,海鲜拍卖,assets/icons/forest/activity-auction.png,assets/icons/ivory/activity-auction.png,gavel
activity,activity-basketball,投篮球,assets/icons/forest/activity-basketball.png,assets/icons/ivory/activity-basketball.png,basketball-ball
activity,activity-dice,骰子游戏,assets/icons/forest/activity-dice.png,assets/icons/ivory/activity-dice.png,dice-five
activity,activity-trophy,活动排行,assets/icons/forest/activity-trophy.png,assets/icons/ivory/activity-trophy.png,trophy
activity,activity-medal,成就勋章,assets/icons/forest/activity-medal.png,assets/icons/ivory/activity-medal.png,medal
activity,activity-completed,任务完成,assets/icons/forest/activity-completed.png,assets/icons/ivory/activity-completed.png,check-circle
activity,activity-wishlist,想体验/收藏,assets/icons/forest/activity-wishlist.png,assets/icons/ivory/activity-wishlist.png,heart
activity,activity-schedule,活动时间,assets/icons/forest/activity-schedule.png,assets/icons/ivory/activity-schedule.png,clock
activity,activity-ranking,榜单,assets/icons/forest/activity-ranking.png,assets/icons/ivory/activity-ranking.png,list-ol
activity,activity-scan,扫码领令/核销,assets/icons/forest/activity-scan.png,assets/icons/ivory/activity-scan.png,qrcode
activity,activity-badge,侠客身份/称号,assets/icons/forest/activity-badge.png,assets/icons/ivory/activity-badge.png,certificate
booking,booking-time,预约时间,assets/icons/forest/booking-time.png,assets/icons/ivory/booking-time.png,clock
booking,booking-people,参与人数,assets/icons/forest/booking-people.png,assets/icons/ivory/booking-people.png,users
booking,booking-quota,剩余名额,assets/icons/forest/booking-quota.png,assets/icons/ivory/booking-quota.png,user-check
booking,booking-bus,接驳车,assets/icons/forest/booking-bus.png,assets/icons/ivory/booking-bus.png,bus
booking,booking-number,上车号码,assets/icons/forest/booking-number.png,assets/icons/ivory/booking-number.png,hashtag
booking,booking-safety,安全须知,assets/icons/forest/booking-safety.png,assets/icons/ivory/booking-safety.png,shield-alt
booking,booking-helmet,安全头盔,assets/icons/forest/booking-helmet.png,assets/icons/ivory/booking-helmet.png,hard-hat
booking,booking-life-jacket,救生衣,assets/icons/forest/booking-life-jacket.png,assets/icons/ivory/booking-life-jacket.png,life-ring
booking,booking-confirm,确认预约,assets/icons/forest/booking-confirm.png,assets/icons/ivory/booking-confirm.png,check
booking,booking-cancel,取消预约,assets/icons/forest/booking-cancel.png,assets/icons/ivory/booking-cancel.png,times-circle
booking,booking-phone,联系电话,assets/icons/forest/booking-phone.png,assets/icons/ivory/booking-phone.png,phone
booking,booking-warning,风险提示,assets/icons/forest/booking-warning.png,assets/icons/ivory/booking-warning.png,exclamation-triangle
booking,booking-weather-pause,天气暂停,assets/icons/forest/booking-weather-pause.png,assets/icons/ivory/booking-weather-pause.png,cloud-rain
shop,shop-cart,购物车,assets/icons/forest/shop-cart.png,assets/icons/ivory/shop-cart.png,shopping-cart
shop,shop-add,增加数量,assets/icons/forest/shop-add.png,assets/icons/ivory/shop-add.png,plus-circle
shop,shop-minus,减少数量,assets/icons/forest/shop-minus.png,assets/icons/ivory/shop-minus.png,minus-circle
shop,shop-drink,特调饮品,assets/icons/forest/shop-drink.png,assets/icons/ivory/shop-drink.png,glass-martini
shop,shop-beer,啤酒,assets/icons/forest/shop-beer.png,assets/icons/ivory/shop-beer.png,beer
shop,shop-bottle,瓶装酒水,assets/icons/forest/shop-bottle.png,assets/icons/ivory/shop-bottle.png,wine-bottle
shop,shop-rental,租赁商品,assets/icons/forest/shop-rental.png,assets/icons/ivory/shop-rental.png,hand-holding
shop,shop-tent,帐篷/天幕,assets/icons/forest/shop-tent.png,assets/icons/ivory/shop-tent.png,campground
shop,shop-hammock,吊床,assets/icons/forest/shop-hammock.png,assets/icons/ivory/shop-hammock.png,custom:hammock
shop,shop-playing-cards,扑克牌,assets/icons/forest/shop-playing-cards.png,assets/icons/ivory/shop-playing-cards.png,custom:playing-cards
shop,shop-mahjong,麻将,assets/icons/forest/shop-mahjong.png,assets/icons/ivory/shop-mahjong.png,custom:mahjong
shop,shop-delivery,配送,assets/icons/forest/shop-delivery.png,assets/icons/ivory/shop-delivery.png,shipping-fast
shop,shop-campsite-delivery,营位配送,assets/icons/forest/shop-campsite-delivery.png,assets/icons/ivory/shop-campsite-delivery.png,map-marker-alt
shop,shop-order,订单,assets/icons/forest/shop-order.png,assets/icons/ivory/shop-order.png,receipt
shop,shop-payment,支付,assets/icons/forest/shop-payment.png,assets/icons/ivory/shop-payment.png,credit-card
shop,shop-refund,退款售后,assets/icons/forest/shop-refund.png,assets/icons/ivory/shop-refund.png,undo-alt
shop,shop-ice,冰块/冰桶,assets/icons/forest/shop-ice.png,assets/icons/ivory/shop-ice.png,cube
shop,shop-package,商品包裹,assets/icons/forest/shop-package.png,assets/icons/ivory/shop-package.png,box-open
mine,mine-profile,个人资料,assets/icons/forest/mine-profile.png,assets/icons/ivory/mine-profile.png,user-circle
mine,mine-orders,我的订单,assets/icons/forest/mine-orders.png,assets/icons/ivory/mine-orders.png,clipboard-list
mine,mine-wallet,我的钱包,assets/icons/forest/mine-wallet.png,assets/icons/ivory/mine-wallet.png,wallet
mine,mine-coupon,优惠券,assets/icons/forest/mine-coupon.png,assets/icons/ivory/mine-coupon.png,ticket-alt
mine,mine-membership,森水会员,assets/icons/forest/mine-membership.png,assets/icons/ivory/mine-membership.png,crown
mine,mine-favorite,我的收藏,assets/icons/forest/mine-favorite.png,assets/icons/ivory/mine-favorite.png,heart
mine,mine-footprint,我的足迹,assets/icons/forest/mine-footprint.png,assets/icons/ivory/mine-footprint.png,shoe-prints
mine,mine-customer-service,客服与帮助,assets/icons/forest/mine-customer-service.png,assets/icons/ivory/mine-customer-service.png,headset
mine,mine-info,常用信息,assets/icons/forest/mine-info.png,assets/icons/ivory/mine-info.png,info-circle
mine,mine-privacy,隐私与授权,assets/icons/forest/mine-privacy.png,assets/icons/ivory/mine-privacy.png,user-shield
mine,mine-settings,设置中心,assets/icons/forest/mine-settings.png,assets/icons/ivory/mine-settings.png,cog
mine,mine-address,常用联系人/地址,assets/icons/forest/mine-address.png,assets/icons/ivory/mine-address.png,address-card
mine,mine-phone,手机号,assets/icons/forest/mine-phone.png,assets/icons/ivory/mine-phone.png,phone
mine,mine-logout,退出登录,assets/icons/forest/mine-logout.png,assets/icons/ivory/mine-logout.png,sign-out-alt
tabbar,tab-guide-default,guide 未选中,assets/icons/tabbar/tab-guide-default.png,,approved-custom
tabbar,tab-guide-active,guide 选中,assets/icons/tabbar/tab-guide-active.png,,approved-custom
tabbar,tab-token-default,token 未选中,assets/icons/tabbar/tab-token-default.png,,approved-custom
tabbar,tab-token-active,token 选中,assets/icons/tabbar/tab-token-active.png,,approved-custom
tabbar,tab-mine-default,mine 未选中,assets/icons/tabbar/tab-mine-default.png,,approved-custom
tabbar,tab-mine-active,mine 选中,assets/icons/tabbar/tab-mine-active.png,,approved-custom
status,status-success,成功/已完成,assets/icons/status/status-success.png,,check-circle
status,status-warning,提醒/风险,assets/icons/status/status-warning.png,,exclamation-triangle
status,status-error,错误/失败,assets/icons/status/status-error.png,,times-circle
status,status-pending,处理中/待确认,assets/icons/status/status-pending.png,,clock
status,status-disabled,不可用/暂停,assets/icons/status/status-disabled.png,,ban
status,status-sold-out,售罄/无库存,assets/icons/status/status-sold-out.png,,box-open
